POS,Nombre,Team,POS,GP,ATT,YDS,AVG,LNG,BIG,TD,YDS/G,FUM,LST,FD
1,Jonathan Taylor ,IND,RB,17,332,"1,811",5.5,83,14,18,106.5,3,2,107
2,Nick Chubb ,CLE,RB,14,228,"1,259",5.5,70,12,8,89.9,2,1,61
3,Joe Mixon ,CIN,RB,16,292,"1,205",4.1,32,6,13,75.3,1,1,60
4,Najee Harris ,PIT,RB,17,307,"1,200",3.9,37,6,7,70.6,0,0,62
5,Dalvin Cook ,MIN,RB,13,249,"1,159",4.7,66,9,6,89.2,3,2,57
6,Antonio Gibson ,WSH,RB,16,258,"1,037",4,27,4,7,64.8,5,3,65
7,Ezekiel Elliott ,DAL,RB,17,237,"1,002",4.2,47,3,10,58.9,1,1,55
8,Elijah Mitchell ,SF,RB,11,207,963,4.7,39,6,5,87.5,0,0,47
9,Derrick Henry ,TEN,RB,8,219,937,4.3,76,3,10,117.1,1,0,49
10,Damien Harris ,NE,RB,15,202,929,4.6,64,8,15,61.9,2,2,55
11,Melvin Gordon III,DEN,RB,16,203,918,4.5,70,3,8,57.4,3,3,48
12,Austin Ekeler ,LAC,RB,16,206,911,4.4,28,3,12,56.9,0,0,53
13,Javonte Williams ,DEN,RB,17,203,903,4.4,49,6,4,53.1,2,1,52
14,Alvin Kamara ,NO,RB,13,240,898,3.7,30,3,4,69.1,0,0,42
15,Josh Jacobs ,LV,RB,15,217,872,4,28,2,9,58.1,2,2,45
16,Devin Singletary ,BUF,RB,17,188,870,4.6,46,6,7,51.2,2,0,44
17,David Montgomery ,CHI,RB,13,225,849,3.8,41,5,7,65.3,1,1,55
18,Sony Michel ,LAR,RB,17,208,845,4.1,39,2,4,49.7,1,1,49
19,AJ Dillon ,GB,RB,17,187,803,4.3,36,2,5,47.2,1,1,50
20,Aaron Jones ,GB,RB,15,171,799,4.7,57,5,4,53.3,1,1,37
21,Jalen Hurts ,PHI,QB,15,139,784,5.6,31,7,10,52.3,4,1,56
22,Lamar Jackson ,BAL,QB,12,133,767,5.8,31,5,2,63.9,4,2,48
23,Josh Allen ,BUF,QB,17,122,763,6.3,34,9,6,44.9,5,2,53
24,Miles Sanders ,PHI,RB,12,137,754,5.5,38,7,0,62.8,1,1,33
25,James Conner ,ARI,RB,15,202,752,3.7,35,3,15,50.1,2,0,53
26,Rashaad Penny ,SEA,RB,10,119,749,6.3,62,11,6,74.9,0,0,28
27,Tony Pollard ,DAL,RB,15,130,719,5.5,58,4,2,47.9,0,0,35
28,Michael Carter ,NYJ,RB,14,147,639,4.3,55,3,4,45.6,0,0,29
29,Cordarrelle Patterson ,ATL,RB,16,153,618,4,39,2,6,38.6,1,0,29
30,D'Andre Swift ,DET,RB,13,151,617,4.1,57,3,5,47.5,0,0,28
